uniprot_entry	source
Q8TCD6	deepphase
Q9NQX3	deepphase
Q9H977	deepphase
Q6UX72	deepphase
Q9UHG2	deepphase
Q5UAW9	deepphase
Q15771	deepphase
Q8NDD1	deepphase
Q9BYE0	deepphase
O43290	deepphase
Q96MV8	deepphase
P10515	deepphase
Q8NHR7	deepphase
P57058	deepphase
P83436	deepphase
P29375	deepphase
P42694	deepphase
P17029	deepphase
A1L190	deepphase
O95551	deepphase
Q9UL03	deepphase
Q9UPR3	deepphase
Q5TGI4	deepphase
P23560	deepphase
Q76EJ3	deepphase
Q8N693	deepphase
Q9Y5Q0	deepphase
Q9H0X9	deepphase
Q9UL68	deepphase
Q9Y221	deepphase
Q8N4L8	deepphase
Q2TBE0	deepphase
Q8N474	deepphase
Q8NHP6	deepphase
Q08AI8	deepphase
H3BMG3	deepphase
P20962	deepphase
Q9H000	deepphase
P42771	deepphase
Q8N7X2	deepphase
P43405	deepphase
Q69YN4	deepphase
A0PJX4	deepphase
O60664	deepphase
O75381	deepphase
O14513	deepphase
P09544	deepphase
Q01844	deepphase
Q6IQ16	deepphase
Q9BY66	deepphase
Q86UP2	deepphase
O15116	deepphase
Q96LU7	deepphase
Q5T8D3	deepphase
Q96IR7	deepphase
P40938	deepphase
Q12788	deepphase
Q9Y219	deepphase
Q9NW08	deepphase
Q5JXA9	deepphase
Q9UI26	deepphase
Q96R05	deepphase
Q92838	deepphase
Q96BT3	deepphase
Q16617	deepphase
Q9H8E8	deepphase
Q9C0B1	deepphase
Q712K3	deepphase
Q6T310	deepphase
Q16649	deepphase
O95476	deepphase
Q15059	deepphase
Q8WV99	deepphase
P02763	deepphase
O60239	deepphase
Q52LJ0	deepphase
O94964	deepphase
Q14435	deepphase
Q96MH6	deepphase
Q03112	deepphase
P15923	deepphase
Q9Y6M5	deepphase
Q9Y580	deepphase
Q8IYR2	deepphase
Q96H35	deepphase
Q6ZN06	deepphase
Q7Z401	deepphase
P50750	deepphase
Q9H0U9	deepphase
O60294	deepphase
Q9GZS1	deepphase
P20142	deepphase
O95990	deepphase
O43156	deepphase
Q8NEJ9	deepphase
P51513	deepphase
P49757	deepphase
O60763	deepphase
Q9Y5S9	deepphase
Q12816	deepphase
Q9Y2K6	deepphase
Q9H3M0	deepphase
Q12851	deepphase
P0CJ78	deepphase
Q9C029	deepphase
Q9Y421	deepphase
Q9Y3C0	deepphase
P53985	deepphase
Q9NXK6	deepphase
O75400	deepphase
Q01151	deepphase
O14531	deepphase
Q9Y5J1	deepphase
Q9NXD2	deepphase
Q9UJW7	deepphase
Q8IXW5	deepphase
O75521	deepphase
Q5JVF3	deepphase
Q7L9B9	deepphase
O95755	deepphase
Q9Y520	deepphase
P78346	deepphase
Q8N122	deepphase
Q9P2N6	deepphase
P06703	deepphase
Q9GZM5	deepphase
Q9H7T0	deepphase
O60287	deepphase
Q8NG27	deepphase
A1L162	deepphase
Q9NTK1	deepphase
O43435	deepphase
Q86T90	deepphase
P34810	deepphase
Q96LX8	deepphase
Q9H8Y8	deepphase
Q99784	deepphase
Q9BXV9	deepphase
Q8TCN5	deepphase
Q5VST9	deepphase
Q07507	deepphase
Q9BT81	deepphase
Q9NRX1	deepphase
Q86YW9	deepphase
P01034	deepphase
Q6PGQ7	deepphase
A6NNL5	deepphase
Q9UBC3	deepphase
Q14118	deepphase
Q9BX40	deepphase
Q6P2E9	deepphase
Q2VWP7	deepphase
Q16181	deepphase
Q9Y2F5	deepphase
A8MV65	deepphase
Q9NR28	deepphase
O00268	deepphase
Q2M1V0	deepphase
Q8WUM0	deepphase
Q9HC07	deepphase
Q96AP4	deepphase
Q9UEG4	deepphase
Q8N726	deepphase
Q14493	deepphase
Q8IVV7	deepphase
Q14671	deepphase
Q8WTV0	deepphase
P62191	deepphase
Q96JH8	deepphase
P51003	deepphase
Q70YC5	deepphase
O00148	deepphase
Q8N1L9	deepphase
O43462	deepphase
Q9UL15	deepphase
O75955	deepphase
O95613	deepphase
Q9NQW5	deepphase
Q0GE19	deepphase
Q8N999	deepphase
P38606	deepphase
Q71SY5	deepphase
Q9NS00	deepphase
Q9NPG8	deepphase
Q5VVQ6	deepphase
Q9Y4E1	deepphase
Q15723	deepphase
P58397	deepphase
P14555	deepphase
Q9BTM9	deepphase
Q12789	deepphase
Q8WVY7	deepphase
Q7L7X3	deepphase
P35268	deepphase
P46060	deepphase
Q9BW71	deepphase
O60336	deepphase
O00716	deepphase
Q8IWF6	deepphase
Q99081	deepphase
Q96LZ7	deepphase
O14657	deepphase
Q9HD67	deepphase
Q99633	deepphase
Q6P996	deepphase
Q8WXG1	deepphase
Q8N1G4	deepphase
Q12772	deepphase
Q15596	deepphase
P13798	deepphase
Q9H5Z1	deepphase
P00813	deepphase
Q9Y6I4	deepphase
Q6NZY4	deepphase
O60806	deepphase
Q9NVP1	deepphase
Q9Y2F9	deepphase
Q6ZN28	deepphase
Q14157	deepphase
Q9P0J6	deepphase
Q9P2W9	deepphase
