Names	total	elements
		Q9NWB1
		Q9UL63
		Q9BVM2
		O94842
		P34931
		Q8N8R7
		Q9NXR8
		Q8TBK6
		P54274
		P15923
		O14950
		Q6ZN55
		Q8N9Q2
		Q99784
		Q9NW38
		Q13049
		Q9BVW5
		Q86TJ2
		Q99501
		Q6P5R6
		Q9Y6K9
		O15062
		Q8N488
		Q13627
		Q5D0E6
		Q01196
		Q9UBZ4
		P38936
		Q9Y3C0
		Q13901
		Q86X95
		Q9H5H4
		Q02930
		Q8N8N7
		P17066
		Q9HA38
		Q9HAF1
		Q9BY11
		P04083
		Q99650
		Q99081
		Q7Z6J8
		P14649
		P29400
		Q14192
		P12035
		P23497
		P15291
		P10644
		Q9P0K8
		O95678
		P78368
		Q15911
		Q9NZQ3
		O43295
		Q53HC9
		Q8N567
		P14373
		P17029
		Q99708
		Q8N4U5
		Q96AP0
		P19429
		Q9P2R6
		Q9NWT8
		P62857
		Q6P1L5
		P35226
		Q07889
		Q99675
		Q92979
		Q6NVV7
		Q96S94
		Q96EL3
		Q07912
		A9UHW6
		Q8TAD8
		Q7Z2E3
		P0DI82
		Q9H7E9
		Q9H0K6
		Q4KMQ1
		P49761
		P56524
		Q9UHK0
		Q9BXK1
BioPlex3.0 CoFrac HuRI	67	Q9UK45
		Q14919
		Q86YW9
		Q9Y316
		Q9H008
		Q06124
		Q8IZ69
		Q8NEH6
		O94855
		O95833
		Q13228
		Q99622
		Q9UHA3
		P56282
		Q9NZA1
		P40763
		Q13153
		P62993
		Q712K3
		O75487
		A0JLT2
		P19971
		P55010
		P0DPB6
		P49354
		P45974
		Q9BWW4
		Q9Y4Y9
		Q8WVY7
		P54727
		Q3MIT2
		P24844
		Q9UL42
		Q96QR8
		Q15365
		P0DPB5
		O15116
		Q99757
		Q9GZT8
		Q13526
		O00488
		Q9Y2V2
		Q9Y376
		Q9Y333
		Q969E8
		P13798
		Q8N6T3
		Q9H9S4
		Q13542
		Q9Y5X2
		P02511
		Q9UIV8
		Q9UHD9
		Q9UBV8
		Q9NPJ3
		Q5T6V5
		Q9Y244
		Q9UJ68
		P06730
		Q9NZL4
		O75155
		P08779
		P08397
		Q96FX7
		O75177
		O14662
		Q9Y237
HCM HuRI QUBIC	13	P06239
		P05783
		Q71DI3
		Q5XKE5
		P05787
		O75928
		Q9ULX6
		O75955
		Q969M3
		P04259
		O94875
		Q00587
		Q8WU20
CoFrac HCM HuRI	1	O14647
CoFrac HuRI QUBIC	5	P13647
		P06454
		Q99633
		P42167
		P50995
BioPlex3.0 HCM QUBIC	326	Q8ND56
		Q15032
		Q9BQ75
		Q9UKA2
		P04150
		O60292
		Q08378
		O43166
		Q86V48
		Q9UPN4
		Q6KCM7
		Q96GX5
		Q14807
		P0C0S8
		P09874
		Q5JTV8
		Q9Y2X7
		Q92766
		Q9NQS7
		Q5SSJ5
		P04920
		Q9Y6G3
		Q15468
		Q9H8G2
		Q99549
		Q01831
		Q9NSY1
		Q9UNF1
		O95573
		Q9NX05
		Q9BXB5
		P47974
		Q9UGU0
		Q9NR09
		Q08AD1
		Q9UKV8
		Q96RT1
		Q96JA3
		Q9Y287
		Q3V6T2
		Q9Y2D5
		Q8TEW0
		Q6WKZ4
		Q9NUQ6
		Q12959
		Q6PK04
		O75529
		Q14643
		Q86SQ0
		Q53LP3
		Q8IWC1
		O95425
		Q9Y618
		Q96QC0
		Q5JSH3
		Q2M2I8
		Q07065
		Q86W56
		Q13428
		Q8WYQ5
		O00165
		Q9ULW0
		Q9NUL3
		Q96NW4
		P62847
		P24928
		Q9H6X2
		Q8N5Y2
		Q16643
		Q92794
		Q9NY61
		Q7Z2K8
		O94901
		Q9Y4P3
		P30414
		P07199
		Q8TCN5
		O00459
		O60318
		Q2KJY2
		Q14191
		Q49MG5
		Q13523
		Q9HAW4
		O75044
		Q9Y421
		Q86UE4
		P48634
		Q86X29
		P18887
		Q86YT6
		P54132
		Q8WXE9
		P07948
		P27540
		Q9Y3C1
		Q9BRS2
		Q9UGM6
		Q71F23
		Q9NZB2
		Q02952
		Q9P2K2
		Q6Y7W6
		Q6W2J9
		Q86XP3
		Q03164
		Q6ZV73
		Q9H0G5
		Q86XL3
		P78345
		Q6ZRV2
		O15169
		O75170
		Q641Q2
		Q14684
		Q15070
		Q5VUA4
		Q5SW79
		Q8IZ21
		P37275
		Q03468
		Q9P1Y6
		O95405
		P48382
		Q9UPP1
		O75554
		Q7Z5J4
		Q7LBC6
		O95613
		Q9UHB6
		Q6P6C2
		A6ND36
		Q9BZF1
		Q03135
		P42858
		Q9H2Y7
		O14641
		Q5JSZ5
		Q9P206
		O14715
		Q12872
		Q13427
		Q8N4C6
		Q96PY6
		Q8IX03
		Q5M775
		Q86XZ4
		Q9HC07
		P78316
		Q8IXQ4
		Q9UKJ3
		Q9UPS6
		Q5VV42
		Q9H6R7
		Q9H582
		Q9Y484
		Q8NCD3
		P48681
		Q8TB72
		Q92576
		Q14674
		Q3KQU3
		Q12802
		Q8IWF6
		Q9BRK5
		Q9P270
		Q9Y520
		Q9H6R0
		Q6XZF7
		P49006
		P49454
		P10412
		P33981
		Q5T5U3
		Q9Y4E1
		Q8TBA6
		Q5VT52
		Q92610
		Q12948
		Q15054
		P98194
		Q8NI36
		Q07954
		O43491
		O75152
		O75122
		O14974
		Q6P0N0
		Q9NXD2
		Q9NXR1
		Q9NVV4
		Q96C57
		Q76FK4
		O15014
		Q7Z3E2
		Q96SN8
		Q2KHR3
		O95707
		Q9H089
		O43164
		Q9UPT8
		Q2NKX8
		Q8WUF5
		Q9UIG0
		Q7Z6B7
		Q9UPS8
		O94986
		Q6ZRS2
		O60287
		O00712
		Q9Y6M5
		Q9Y4K1
		P78536
		Q8TF72
		Q9BV73
		P48729
		Q69YH5
		Q15361
		Q8IWU2
		Q86V81
		Q14146
		P42694
		Q9P2B7
		Q8NBU5
		P06400
		Q15596
		Q8NB46
		O95218
		Q15118
		Q9HCD6
		Q9NXC5
		P29590
		Q9UGP4
		Q9P2W9
		Q9H9L3
		Q9NZM1
		Q13439
		P98082
		P27448
		O00159
		P51608
		P50443
		Q5VZ89
		Q96T23
		Q9H2P0
		A4D1E9
		Q14669
		Q9NRG9
		P0DI83
		Q9UPQ0
		Q9Y2X9
		Q8N3F8
		A1L390
		Q659A1
		Q9ULL5
		O95402
		Q53GS7
		Q6ZMI0
		Q03188
		Q96Q89
		Q8N573
		P46100
		Q9HCM4
		Q8N3X1
		Q8NDV7
		O15541
		O75376
		Q14493
		Q96CS3
		O75151
		Q5VT06
		Q14574
		Q92804
		O75052
		P25054
		Q96GQ7
		Q99590
		Q96BT3
		Q9HBD1
		Q6WCQ1
		Q96T58
		Q9ULM3
		P28715
		Q96EV2
		P55199
		P42771
		Q5T1M5
		Q32MZ4
		O94880
		Q9NPG3
		O75475
		Q9UKL3
		Q9P2N6
		Q32NC0
		Q70E73
		Q99442
		Q27J81
		P52594
		Q8WWK9
		Q9P2D1
		Q7Z4H7
		Q9P275
		P78344
		Q5JTC6
		Q15643
		Q8NEY8
		Q6NXT6
		Q14207
		P10636
		P23677
		Q8N5N7
		Q8NFC6
		Q8IWI9
		Q8IY63
		Q9H4G0
		Q92738
		Q9ULV3
		Q96S66
		Q9H3Q1
		Q5T0W9
		O15164
		Q9Y4H2
		Q9Y2F5
		O15061
		Q5VT25
		Q14573
BioPlex3.0 CoFrac HCM	51	P22570
		P21359
		O14981
		P29144
		Q5JVS0
		Q7L014
		Q14814
		Q08752
		Q9BYG3
		Q14118
		Q15393
		Q9NZR1
		P50502
		Q5HYK3
		O00566
		P51858
		Q9Y4C8
		P22307
		Q15417
		Q9UDR5
		Q9HCJ0
		Q9Y6I4
		Q6NVY1
		P27816
		Q8NBN3
		Q9H8H0
		Q9UP83
		Q9UKY7
		O43768
		O95819
		Q53T59
		P11171
		Q9BQ67
		Q9NRY4
		P51003
		O60518
		Q9NVU7
		P00167
		P16435
		Q58A45
		Q9H2G2
		Q9Y6M1
		O96013
		Q9BY44
		Q9H3P7
		Q99439
		Q92541
		Q14692
		O75844
		P08236
		O60934
BioPlex3.0 CoFrac QUBIC	92	Q9H9Y2
		O75533
		O14757
		O60237
		P11413
		Q07020
		O43670
		Q96SY0
		Q92598
		Q93074
		Q92925
		Q8WUM4
		O60524
		Q13620
		P04792
		Q9BY42
		Q14566
		Q96J01
		Q7Z3V4
		Q8NCA5
		Q15545
		Q9Y2X0
		P38606
		P40429
		O43929
		P25205
		P48739
		P52788
		Q96FC9
		Q8IYB7
		Q9BWU1
		Q9NVH2
		Q16539
		Q5VTL8
		P04075
		Q9UKD2
		P15170
		P62277
		P84098
		Q1KMD3
		P61218
		Q9BV38
		P31327
		Q96GM8
		Q9Y490
		O95757
		P57772
		P42345
		Q9H814
		O60294
		Q9NVC6
		Q15003
		P35579
		Q86VI3
		P07900
		Q86U42
		Q9Y4B6
		Q9UQE7
		Q96SB8
		Q9P2I0
		P49840
		O15523
		O96017
		O15514
		P49959
		Q8WV22
		P41236
		Q6P2C8
		P46060
		P20073
		Q05048
		Q9BQ15
		Q8WVK2
