Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
61,42,0.3002,258.5,880.2,0.2114,0.999962,"Q9BW85 P62306 Q9Y5U2 Q15428 O60508 O94906 Q15393 O75643 P62318 P62316 P62304 P62314 Q9HCS7 Q9BZJ0 O60306 Q9BRX9 Q8WUD4 Q9UNP9 Q9ULR0 O95926 O43290 Q9BRR8 Q96AT1 P62308 Q56P03 Q9Y312 Q15029 P08579 P63162 P09661 O43660 Q9UMS4 Q15459 Q12874 P54105 Q96DI7 Q99459 Q9H5Z1 O95400 Q9BQ65 Q8IYT2 Q8N8D1"
62,10,0.3004,13.52,237.4,0.04990,0.998899,"Q9UHD9 Q6ICB0 Q5M9N0 Q6P1W5 Q96CS7 Q9BSL1 P0CG48 Q8N6M9 Q9H305 P05814"
63,8,0.3021,8.459,302.2,0.02590,0.990935,"Q9UPY8 Q15691 Q9C0I3 Q7Z5L2 Q8IYA6 Q08AD1 O15021 Q9Y4F5"
64,13,0.2741,21.38,121.0,0.1270,0.993083,"Q8NA72 P41208 Q8IX29 Q12798 Q0VDD8 Q5VW00 O14874 Q9BUY7 Q2NKQ1 O15182 Q70CQ1 O95976 A8K8P3"
65,8,0.3154,8.831,278.3,0.02913,0.999320,"P0DMV9 P0DMV8 Q9NY64 Q96BP3 Q9UNN5 Q5TC82 P31350 Q9UKY7"
66,5,0.3228,3.228,124.8,0.02340,0.0718360,"Q5JX71 Q9H3T2 Q86WK9 Q9HAB3 Q7Z7B8"
67,5,0.3415,3.415,10.92,0.1403,0.0718360,"Q96B49 Q969M1 Q9P0U1 Q8N4H5 Q6ZR37"
68,5,0.3301,3.301,166.4,0.01837,0.993907,"Q6ZVT0 Q5JR59 O95990 Q6PF04 Q86VV4"
69,27,0.3072,107.8,345.8,0.2124,0.902770,"Q9P2B7 P30260 O60566 Q9UJJ9 Q9UJX3 Q12834 Q96DE5 Q9UJX4 Q9UJX5 Q9H1A4 Q8NHZ8 Q3T906 Q9UM11 P31350 Q9BS18 Q9H6Y5 O95922 P60006 Q6PH81 Q9UKT4 P51955 Q9UM13 O43684 P01210 Q6IC83 Q6ZSR9 Q9UKI9"
70,8,0.3253,9.109,235.3,0.03498,0.996297,"Q7Z3S9 P50895 Q0VDD7 Q9BX59 Q92733 Q6PJG9 Q9H0I9 Q8NEG5"
71,14,0.3014,27.43,415.8,0.05820,0.999176,"P13667 Q02809 Q8NBJ5 O43852 P50454 Q96L12 O00469 P14314 Q9UMX5 Q9BWS9 Q9NYU2 Q9NYU1 Q8NBJ7 O60613"
72,9,0.3051,10.98,315.8,0.03186,0.999713,"O14964 O00167 Q14847 A1E959 Q96CS7 Q92734 Q8N6M9 Q71SY5 Q8NDH6"
73,19,0.3049,52.14,736.1,0.06311,0.986750,"Q96EY8 Q9NU23 P11182 Q5JTZ9 O75390 P08559 Q12931 P09622 O43837 O75027 P24752 P10515 Q16836 P30084 Q32P41 Q5T1C6 Q96HY7 P36957 P82909"
74,15,0.3090,32.44,519.3,0.05576,0.997603,"Q15942 Q9NR12 Q96IF1 Q9H609 O60711 Q8ND24 Q15654 Q6NVV7 Q96IJ6 Q9UK96 Q9UGP4 Q2M1Z3 O75113 Q93052 Q9HAP2"
75,20,0.3010,57.18,582.6,0.08412,1.00000,"Q96MU7 Q9NPE2 O14979 P98179 P61978 O43347 P84103 P38159 Q15415 Q9NZB2 Q9Y2Z4 O75127 Q8IVS2 Q9NYY8 Q9NUL7 Q8IYB8 Q14011 P0DJD3 P10155 O95900"
76,7,0.3181,6.680,193.9,0.03113,0.994698,"Q96MT8 P27469 O76041 Q8WXW3 Q15027 Q9NYA3 Q15154"
77,6,0.3184,4.777,114.7,0.03634,0.997463,"Q96D09 Q5W5X9 Q5T124 Q96I34 Q68DK2 Q8N7B9"
78,5,0.3306,3.306,145.1,0.02086,0.996692,"P02792 Q0VDD8 O94983 Q8WUB2 Q8NEV4"
79,11,0.3000,16.50,337.5,0.04388,0.999804,"Q63ZY3 Q9H0C1 Q86Y26 Q9BWG6 Q8IYX3 Q2NL98 Q8WXK1 Q4VC12 Q86Y33 Q6MZQ0 P48742"
80,6,0.3388,5.083,74.24,0.05566,0.967224,"Q99757 Q8TD10 Q96PY5 Q8NCU1 Q5I0X7 P08133"
81,9,0.3078,11.08,135.5,0.06733,0.999853,"Q9NV92 Q9BT67 Q7Z418 Q8WUM9 Q16739 A8MVW5 O14763 P55082 Q9H6L2"
82,6,0.3025,4.537,177.5,0.02338,0.998474,"O15231 P17174 P57076 Q9NVZ3 Q6ZVX7 Q02413"
83,8,0.3059,8.565,272.4,0.02884,0.999026,"Q05516 Q6NZ36 Q8NI38 A6NEM1 Q7Z6J9 O95990 Q86VV4 Q96NL3"
84,4,0.3509,2.105,137.4,0.01428,0.992931,"Q9Y294 Q96L73 Q9NZM4 Q8N5Y2"
85,6,0.3035,4.553,179.1,0.02327,0.997463,"P27824 O14786 Q9NPC4 Q86T26 O60391 Q9Y5X9"
86,19,0.3002,51.34,454.6,0.09438,0.999999,"P49750 P09651 P23246 P14866 Q15424 O14979 P35637 P31943 Q92841 P52272 P22626 P51991 P26599 Q92804 Q07666 O43823 Q9NR56 Q8IXT5 P31942"
87,4,0.3155,1.893,38.63,0.03901,0.992931,"Q9H0Z9 Q15527 Q8N567 Q9H3S4"
88,5,0.3008,3.008,67.53,0.03735,0.993907,"Q96T58 Q13557 Q6P3S6 Q06330 P13051"
89,8,0.3099,8.677,227.3,0.03444,0.999679,"Q96DZ9 Q8WTS1 Q8IX19 Q9Y371 Q8NI60 Q8TAC2 Q86UL3 O43399"
90,5,0.3384,3.384,139.2,0.02218,0.989214,"P25815 Q9UBZ4 Q9NYD6 Q96DB5 Q6A555"
91,5,0.3380,3.380,144.2,0.02145,0.993907,"Q8TBB0 Q0VD86 Q9NZV6 Q8TEW6 Q99743"
92,13,0.3022,23.57,466.0,0.04571,0.999889,"Q9NYB9 Q5TD97 Q9NQX0 Q9NR12 Q494U1 Q3KP44 O94929 Q7L5A3 Q8NEG0 P0C7X2 Q8TDC0 Q9UBP5 Q9Y603"
93,7,0.3477,7.301,41.25,0.1167,0.937399,"Q14204 O14576 Q9NP97 P51808 O43237 Q9Y237 Q8WU43"
94,5,0.3051,3.051,146.8,0.01909,0.952654,"Q15287 Q92794 Q6AZW8 Q9HAU5 Q14585"
95,12,0.2922,19.28,151.8,0.09885,0.999761,"Q9HC35 Q9BVA1 Q9BTW9 P25445 Q13885 P68371 P04350 P36404 Q5TFG8 O00423 Q13938 P20231"
96,4,0.3622,2.173,59.42,0.03123,0.903035,"O60861 Q4G0S7 Q16543 A1A4S6"
97,5,0.3001,3.001,131.6,0.02076,0.993907,"Q9UBK5 P04626 Q8IWA4 Q9HAW0 O95140"
98,5,0.3033,3.033,142.7,0.01947,0.989214,"P14373 Q86Y33 Q9NZV6 Q9NR81 Q12774"
99,12,0.2594,17.12,147.4,0.09082,0.997446,"Q86V42 Q9HAP6 Q8N3R9 Q8IY63 P46937 Q9NUP9 O95954 Q8NI35 O75970 Q8IX03 Q13368 Q96DR7"
100,4,0.3573,2.144,66.02,0.02815,0.557725,"P11912 Q96HP8 Q7Z3Q1 Q5VWC8"
101,5,0.3147,3.147,121.6,0.02336,0.981643,"P0CG47 Q86T65 P37058 P63316 Q8WXR4"
102,5,0.3049,3.049,52.70,0.04638,0.981643,"P61266 P23763 Q9Y225 O15554 Q86UP9"
103,7,0.3005,6.311,210.4,0.02736,0.996355,"Q5UIP0 P04201 P36894 P23458 Q8NBU5 O60603 P14778"
104,11,0.3037,16.70,379.4,0.03995,0.999947,"Q96BA8 Q5TGU0 Q14802 Q8N2M4 Q15125 Q96CP7 Q9NP94 Q16873 O14925 Q07108 P34972"
105,6,0.3132,4.697,155.7,0.02724,0.998474,"Q7Z3Y8 Q14CN4 P35900 Q01546 Q7Z3E2 Q6W0C5"
106,6,0.3012,4.518,207.5,0.02017,0.997463,"O43156 P98172 Q9H0X4 Q9BXW9 Q9UKY1 O95409"
107,5,0.3343,3.343,102.5,0.02886,0.981643,"Q6UXF1 Q96EQ0 P01229 Q9BT88 Q9NSA1"
108,4,0.3412,2.047,12.51,0.09076,0.984809,"Q9BU89 Q9NQZ5 O95081 P11245"
109,6,0.3152,4.728,58.76,0.06264,0.989880,"Q9UPY3 Q9H9G7 Q8IV38 Q9HCK5 Q9UL18 Q9BVG4"
110,67,0.3001,663.4,3056,0.1722,0.998089,"Q10567 P46940 P62140 P61158 P63010 Q9ULV4 Q13492 O43795 P09496 Q00610 O14976 Q9NYZ3 Q9Y4I1 Q9NQW6 Q76I76 Q15811 O15027 Q2M2I8 Q96D71 Q59EK9 O00291 Q8N5S1 Q96CW1 Q9UHB6 Q9NYL9 Q16643 P47755 Q92614 Q96H55 P21333 P35579 O00159 Q9UM54 P59998 Q8WXE9 O95782 P09497 P42566 P53675 P98082 Q8N3V7 Q8N556 Q9NQX4 Q9NSY1 P35580 P27482 Q15311 O75369 O94973 Q14677 O75146 Q9UBC2 P53992 Q9NZM3 Q96FJ0 Q12965 P53680 O00443 Q9Y2D5 Q0JRZ9 Q9NVZ3 P49418 Q9BQI5 Q8TEH3 O95630 Q96QS3 O75061"
